brand,country,vertical,sov
KAYAK,British Indian Ocean Territory,Hotel Citywide,4.1667%
Hotelscombined,British Indian Ocean Territory,Hotel Citywide,4.1667%
KAYAK,British Virgin Islands,Flights,6.8085%
CheapFlights,British Virgin Islands,Flights,3.6702%
Momondo,British Virgin Islands,Flights,1.5426%
Hotelscombined,British Virgin Islands,Flights,2.3404%
KAYAK,British Virgin Islands,Hotel,4.2254%
Momondo,British Virgin Islands,Hotel,0.3521%
Hotelscombined,British Virgin Islands,Hotel,5.6338%
KAYAK,British Virgin Islands,Hotel Citywide,10.7317%
Momondo,British Virgin Islands,Hotel Citywide,1.4024%
Hotelscombined,British Virgin Islands,Hotel Citywide,2.9268%
KAYAK,Brunei,Flights,14.9789%
Momondo,Brunei,Flights,5.0633%
CheapFlights,Brunei,Flights,6.3291%
Hotelscombined,Brunei,Flights,4.2722%
Hotelscombined,Brunei,Hotel,6.3927%
KAYAK,Brunei,Hotel,5.8219%
Momondo,Brunei,Hotel,1.7123%
KAYAK,Brunei,Hotel Citywide,12.4766%
Momondo,Brunei,Hotel Citywide,1.8536%
Hotelscombined,Brunei,Hotel Citywide,2.9283%
Momondo,Bulgaria,Car Rentals,23.0769%
KAYAK,Bulgaria,Car Rentals,7.6923%
CheapFlights,Bulgaria,Flights,9.3783%
KAYAK,Bulgaria,Flights,4.5653%
Momondo,Bulgaria,Flights,4.7267%
Hotelscombined,Bulgaria,Flights,6.7277%
KAYAK,Bulgaria,Hotel,6.7531%
Hotelscombined,Bulgaria,Hotel,3.6076%
Momondo,Bulgaria,Hotel,0.6261%
Swoodoo,Bulgaria,Hotel,0.0447%
KAYAK,Bulgaria,Hotel Citywide,4.3071%
Hotelscombined,Bulgaria,Hotel Citywide,5.5607%
Momondo,Bulgaria,Hotel Citywide,0.9792%
Swoodoo,Bulgaria,Hotel Citywide,0.0149%
Hotelscombined,Bulgaria,Vacations,12.1094%
KAYAK,Bulgaria,Vacations,0.7813%
KAYAK,Burkina Faso,Car Rentals,25.0000%
Momondo,Burkina Faso,Car Rentals,25.0000%
KAYAK,Burkina Faso,Flights,15.5944%
CheapFlights,Burkina Faso,Flights,9.4184%
Momondo,Burkina Faso,Flights,5.3654%
Hotelscombined,Burkina Faso,Flights,4.4905%
KAYAK,Burkina Faso,Hotel,5.5000%
Momondo,Burkina Faso,Hotel,0.2500%
Hotelscombined,Burkina Faso,Hotel,2.7500%
KAYAK,Burkina Faso,Hotel Citywide,4.6886%
Momondo,Burkina Faso,Hotel Citywide,1.8337%
Hotelscombined,Burkina Faso,Hotel Citywide,1.5387%
KAYAK,Burkina Faso,Vacations,25.0000%
Momondo,Burundi,Car Rentals,25.0000%
KAYAK,Burundi,Car Rentals,20.0000%
KAYAK,Burundi,Flights,16.1027%
CheapFlights,Burundi,Flights,9.6266%
Momondo,Burundi,Flights,7.6138%
Hotelscombined,Burundi,Flights,2.8880%
KAYAK,Burundi,Hotel,2.0833%
Hotelscombined,Burundi,Hotel,2.0833%
Momondo,Burundi,Hotel,1.0417%
KAYAK,Burundi,Hotel Citywide,7.5510%
Momondo,Burundi,Hotel Citywide,2.8367%
Hotelscombined,Burundi,Hotel Citywide,1.7959%
Momondo,Cabo Verde,Car Rentals,23.3333%
KAYAK,Cabo Verde,Car Rentals,11.6667%
CheapFlights,Cabo Verde,Flights,13.1778%
KAYAK,Cabo Verde,Flights,4.9641%
Momondo,Cabo Verde,Flights,7.5558%
Hotelscombined,Cabo Verde,Flights,5.4725%
KAYAK,Cabo Verde,Hotel,5.2632%
Hotelscombined,Cabo Verde,Hotel,3.2895%
KAYAK,Cabo Verde,Hotel Citywide,4.5326%
Momondo,Cabo Verde,Hotel Citywide,0.8764%
Hotelscombined,Cabo Verde,Hotel Citywide,2.1956%
Swoodoo,Cabo Verde,Hotel Citywide,0.0094%
Hotelscombined,Cabo Verde,Vacations,10.0000%
KAYAK,Cabo Verde,Vacations,5.0000%
KAYAK,Cambodia,Car Rentals,16.6667%
Momondo,Cambodia,Car Rentals,16.6667%
KAYAK,Cambodia,Flights,14.3109%
Momondo,Cambodia,Flights,4.0705%
CheapFlights,Cambodia,Flights,4.2788%
Hotelscombined,Cambodia,Flights,5.4006%
KAYAK,Cambodia,Hotel,4.6137%
Hotelscombined,Cambodia,Hotel,4.7210%
Momondo,Cambodia,Hotel,1.6094%
KAYAK,Cambodia,Hotel Citywide,11.4482%
Hotelscombined,Cambodia,Hotel Citywide,3.1016%
Momondo,Cambodia,Hotel Citywide,1.5480%
Swoodoo,Cambodia,Hotel Citywide,0.0170%
KAYAK,Cambodia,Vacations,12.5000%
KAYAK,Cameroon,Car Rentals,13.8889%
Momondo,Cameroon,Car Rentals,16.6667%
KAYAK,Cameroon,Flights,15.1253%
CheapFlights,Cameroon,Flights,11.6838%
Momondo,Cameroon,Flights,4.6612%
Hotelscombined,Cameroon,Flights,5.0945%
KAYAK,Cameroon,Hotel,4.9383%
Momondo,Cameroon,Hotel,0.6173%
Hotelscombined,Cameroon,Hotel,1.8519%
KAYAK,Cameroon,Hotel Citywide,3.8896%
Momondo,Cameroon,Hotel Citywide,1.2466%
Hotelscombined,Cameroon,Hotel Citywide,1.6773%
KAYAK,Cameroon,Vacations,4.1667%
Momondo,Canada,Car Rentals,23.7272%
KAYAK,Canada,Car Rentals,3.5062%
KAYAK,Canada,Flights,7.9891%
CheapFlights,Canada,Flights,4.3455%
Momondo,Canada,Flights,7.6667%
Hotelscombined,Canada,Flights,1.8611%
KAYAK,Canada,Hotel,5.6703%
Momondo,Canada,Hotel,1.5627%
Hotelscombined,Canada,Hotel,3.3349%
Swoodoo,Canada,Hotel,0.0011%
KAYAK,Canada,Hotel Citywide,4.0000%
Momondo,Canada,Hotel Citywide,0.9496%
Hotelscombined,Canada,Hotel Citywide,1.2071%
Swoodoo,Canada,Hotel Citywide,0.0004%
